"decimalLongitude","decimalLatitude","category","kingdom","phylum","class","order","family","genus","speciesFixed","year","month","userNumber","original.inat.taxonID","species","root","user","hour","xbin","ybin","geo_bin","user_obs","user_spp","user_visits","user_locations","obs_id"
-122.516998291,37.520401001,"invertebrate","Animalia","Mollusca","Gastropoda","Nudibranchia","Polyceratidae","Triopha","Triopha maculata",2008,7,1,47110,"Triopha maculata","life",1,5,3,2,"3 2",0.989937106918239,0.991194968553459,0.989937106918239,0.986163522012579,1
-122.516998291,37.520401001,"invertebrate","Animalia","Mollusca","Gastropoda","Nudibranchia","Onchidorididae","Acanthodoris","Acanthodoris lutea",2008,7,1,47472,"Acanthodoris lutea","life",1,5,3,2,"3 2",0.989937106918239,0.991194968553459,0.989937106918239,0.986163522012579,2
-122.516998291,37.520401001,"invertebrate","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer","Cancer productus",2008,7,1,47826,"Cancer productus","life",1,5,3,2,"3 2",0.989937106918239,0.991194968553459,0.989937106918239,0.986163522012579,3
-122.516998291,37.5208015442,"invertebrate","Animalia","Arthropoda","Pycnogonida","","Pycnogonidae","Pycnogonum","Pycnogonum stearnsi",2008,7,1,47830,"Pycnogonum stearnsi","life",1,5,3,2,"3 2",0.989937106918239,0.991194968553459,0.989937106918239,0.986163522012579,4
-122.5159988403,37.5205001831,"invertebrate","Animalia","Arthropoda","Pycnogonida","","Pycnogonidae","Pycnogonum","Pycnogonum stearnsi",2008,7,1,47830,"Pycnogonum stearnsi","life",1,5,3,2,"3 2",0.989937106918239,0.991194968553459,0.989937106918239,0.986163522012579,5
-122.5159301758,37.520072937,"invertebrate","Animalia","Mollusca","Gastropoda","Nudibranchia","Fionidae","Cuthona","Cuthona albocrusta",2007,5,1,48980,"Cuthona albocrusta","life",1,5,3,2,"3 2",0.989937106918239,0.991194968553459,0.989937106918239,0.986163522012579,6
-122.5163269043,37.5203704834,"invertebrate","Animalia","Mollusca","Gastropoda","Nudibranchia","Aeolidiidae","Anteaeolidiella","Anteaeolidiella oliviae",2007,3,1,464287,"Anteaeolidiella oliviae","life",1,5,3,2,"3 2",0.989937106918239,0.991194968553459,0.989937106918239,0.986163522012579,7
-122.5773696899,37.905040741,"invertebrate","Animalia","Arthropoda","Insecta","Phasmida","Timematidae","Timema","Timema poppensis",2009,2,1,84929,"Timema poppensis","life",1,5,3,4,"3 4",0.989937106918239,0.991194968553459,0.989937106918239,0.986163522012579,8
-122.5962142944,37.9070320129,"plant","Plantae","Magnoliophyta","Liliopsida","Liliales","Liliaceae","Scoliopus","Scoliopus bigelovii",2009,2,1,48990,"Scoliopus bigelovii","life",1,5,3,4,"3 4",0.989937106918239,0.991194968553459,0.989937106918239,0.986163522012579,9
-122.5771408081,37.9103317261,"plant","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Orobanchaceae","Pedicularis","Pedicularis densiflora",2009,2,1,49645,"Pedicularis densiflora","life",1,5,3,4,"3 4",0.989937106918239,0.991194968553459,0.989937106918239,0.986163522012579,10
