"FIPS","countyState","census2010","popEst2010","popEst2015","areaLand","areaWater"
"01001","Autauga County, Alabama",54571,54660,55347,1539582278,25775735
"01003","Baldwin County, Alabama",182265,183193,203709,4117521611,1133190229
"01005","Barbour County, Alabama",27457,27341,26489,2291818968,50864716
"01007","Bibb County, Alabama",22915,22861,22583,1612480789,9289057
"01009","Blount County, Alabama",57322,57373,57673,1669961855,15157440
"01011","Bullock County, Alabama",10914,10887,10696,1613056905,6056528
"01013","Butler County, Alabama",20947,20944,20154,2011976894,2726814
"01015","Calhoun County, Alabama",118572,118437,115620,1569189995,16624267
"01017","Chambers County, Alabama",34215,34098,34123,1545009282,17048142
"01019","Cherokee County, Alabama",25989,25976,25859,1434075952,119858898
"01021","Chilton County, Alabama",43643,43665,43943,1794483586,20586383
"01023","Choctaw County, Alabama",13859,13841,13170,2365954748,19059251
"01025","Clarke County, Alabama",25833,25767,24675,3207609488,36542656
"01027","Clay County, Alabama",13932,13880,13555,1564252280,5284628
"01029","Cleburne County, Alabama",14972,14973,15018,1450652767,2365681
"01031","Coffee County, Alabama",49948,50177,51211,1758528786,3944730
"01033","Colbert County, Alabama",54428,54514,54354,1534877333,76430813
"01035","Conecuh County, Alabama",13228,13208,12672,2201894769,6644940
"01037","Coosa County, Alabama",11539,11758,10724,1685891075,39946646
"01039","Covington County, Alabama",37765,37796,37835,2668869505,34526309
"01041","Crenshaw County, Alabama",13906,13853,13963,1576888006,5376392
"01043","Cullman County, Alabama",80406,80473,82005,1903228333,52266921
"01045","Dale County, Alabama",50251,50358,49565,1453371157,4016457
"01047","Dallas County, Alabama",43820,43803,41131,2534807386,39134826
"01049","DeKalb County, Alabama",71109,71142,71130,2012662359,4123588
"01051","Elmore County, Alabama",79303,79465,81468,1601867593,99862541
"01053","Escambia County, Alabama",38319,38309,37789,2447746932,20873208
"01055","Etowah County, Alabama",104430,104442,103057,1385618994,35322991
"01057","Fayette County, Alabama",17241,17231,16759,1625631609,4392821
"01059","Franklin County, Alabama",31704,31734,31696,1641587713,32897905
"01061","Geneva County, Alabama",26790,26795,26777,1487710425,11765293
"01063","Greene County, Alabama",9045,9001,8479,1676007032,33231212
"01065","Hale County, Alabama",15760,15735,15068,1667803914,32525967
"01067","Henry County, Alabama",17302,17292,17221,1454926258,16986789
"01069","Houston County, Alabama",101547,101783,104173,1501737720,4739984
"01071","Jackson County, Alabama",53227,53179,52419,2791664869,126657194
"01073","Jefferson County, Alabama",658466,658116,660367,2878192209,32474487
"01075","Lamar County, Alabama",14564,14495,13886,1566544654,1600679
"01077","Lauderdale County, Alabama",92709,92747,92596,1729327931,138027479
"01079","Lawrence County, Alabama",34339,34305,33115,1788846568,68688464
"01081","Lee County, Alabama",140247,140782,156993,1573510728,21530362
"01083","Limestone County, Alabama",82782,83163,91663,1450228326,122381869
"01085","Lowndes County, Alabama",11299,11275,10458,1854199648,23723525
"01087","Macon County, Alabama",21452,21545,19105,1577005015,11194263
"01089","Madison County, Alabama",334811,336138,353089,2076116529,28771340
"01091","Marengo County, Alabama",21027,20942,20028,2530112461,14994547
"01093","Marion County, Alabama",30776,30800,30168,1922526826,3313145
"01095","Marshall County, Alabama",93019,93146,94725,1465522757,148503356
"01097","Mobile County, Alabama",412992,413332,415395,3184223082,1073750500
"01099","Monroe County, Alabama",23068,22982,21673,2656485275,22643193
"01101","Montgomery County, Alabama",229363,229723,226519,2031190777,40571253
"01103","Morgan County, Alabama",119490,119603,119565,1500476319,51064861
"01105","Perry County, Alabama",10591,10540,9652,1863920409,10918516
"01107","Pickens County, Alabama",19746,19716,20864,2282837059,22578169
"01109","Pike County, Alabama",32899,32957,33046,1740715643,2362806
"01111","Randolph County, Alabama",22913,22891,22696,1503616599,9285288
"01113","Russell County, Alabama",52947,53297,59660,1660545751,15673340
"01115","St. Clair County, Alabama",83593,83812,87074,1636619393,56300062
"01117","Shelby County, Alabama",195085,196048,208713,2032960300,63700594
"01119","Sumter County, Alabama",13763,13740,13103,2341057426,24436353
"01121","Talladega County, Alabama",82291,82071,80862,1908239516,60944144
"01123","Tallapoosa County, Alabama",41616,41502,40844,1855780057,128808796
"01125","Tuscaloosa County, Alabama",194656,194977,203976,3423328940,76395592
"01127","Walker County, Alabama",67023,67004,65294,2049177420,36263761
"01129","Washington County, Alabama",17581,17610,16804,2797722307,21650857
"01131","Wilcox County, Alabama",11670,11557,11059,2301200113,48985152
"01133","Winston County, Alabama",24484,24401,23877,1587607882,48922827
"02013","Aleutians East Borough, Alaska",3141,3169,3341,18083148800,20792209033
"02016","Aleutians West Census Area, Alaska",5561,5546,5702,11370762625,25190643524
"02020","Anchorage Municipality, Alaska",291826,293405,298695,4415108963,663860984
"02050","Bethel Census Area, Alaska",17013,17080,17946,105075822708,12779523593
"02060","Bristol Bay Borough, Alaska",997,1002,892,1304947207,993830067
"02068","Denali Borough, Alaska",1826,1837,1919,33026000538,66068790
"02070","Dillingham Census Area, Alaska",4847,4856,4997,48092912615,6077223732
"02090","Fairbanks North Star Borough, Alaska",97581,98289,99631,19005874393,273188119
"02100","Haines Borough, Alaska",2508,2501,2534,6005146534,1053874968
"02105","Hoonah-Angoon Census Area, Alaska",2150,2147,2133,19489439091,8778085294
"02110","Juneau City and Borough, Alaska",31275,31388,32756,6997968643,1429575134
"02122","Kenai Peninsula Borough, Alaska",55400,55573,58059,41634915224,22473290427
"02130","Ketchikan Gateway Borough, Alaska",13477,13525,13709,12583232994,4649414062
"02150","Kodiak Island Borough, Alaska",13592,13651,13889,16963331761,14173062281
"02158","Kusilvak Census Area, Alaska",7459,7464,8119,44240705695,6711999401
"02164","Lake and Peninsula Borough, Alaska",1631,1637,1563,61258419419,24010457489
"02170","Matanuska-Susitna Borough, Alaska",88995,89761,101095,63734160198,1682737402
"02180","Nome Census Area, Alaska",9492,9536,9846,59470685832,13768011766
"02185","North Slope Borough, Alaska",9430,9468,9687,229720054439,15801179317
"02188","Northwest Arctic Borough, Alaska",7523,7545,7752,92132564828,13406688095
"02195","Petersburg Borough, Alaska",3815,3217,3177,8500293927,6221367848
"02198","Prince of Wales-Hyder Census Area, Alaska",5559,6212,6341,10160193695,9739418122
"02220","Sitka City and Borough, Alaska",8881,8898,8863,7434143788,5027404028
"02230","Skagway Municipality, Alaska",968,965,1057,1171515798,30331334
"02240","Southeast Fairbanks Census Area, Alaska",7029,7070,6839,64150915284,752795246
"02261","Valdez-Cordova Census Area, Alaska",9636,9659,9362,88680877051,15799689879
"02275","Wrangell City and Borough, Alaska",2369,2370,2382,6582411037,2384276261
"02282","Yakutat City and Borough, Alaska",662,662,613,19812002035,4696710283
"02290","Yukon-Koyukuk Census Area, Alaska",5588,5588,5533,376855656455,5956563857
"04001","Apache County, Arizona",71518,71766,71474,29001443825,54175788
"04003","Cochise County, Arizona",131346,131809,126427,15969063883,137025224
"04005","Coconino County, Arizona",134421,134626,139097,48222689085,109964090
"04007","Gila County, Arizona",53597,53544,53159,12322988718,97111978
"04009","Graham County, Arizona",37220,37137,37666,11972471194,47833765
"04011","Greenlee County, Arizona",8437,8339,9529,4773673819,13745365
"04012","La Paz County, Arizona",20489,20446,20152,11653984341,36581791
"04013","Maricopa County, Arizona",3817117,3825597,4167947,23828260196,62795719
"04015","Mohave County, Arizona",200186,200374,204737,34475546921,387371395
"04017","Navajo County, Arizona",107449,107715,108277,25771473007,24078377
"04019","Pima County, Arizona",980263,981870,1010025,23794311939,5337525
"04021","Pinal County, Arizona",375770,379384,406584,13896869603,22331525
"04023","Santa Cruz County, Arizona",47420,47410,46461,3203598541,3088171
"04025","Yavapai County, Arizona",211033,211122,222255,21039764981,11501683
"04027","Yuma County, Arizona",195751,197069,204275,14281174361,13253868
"05001","Arkansas County, Arkansas",19019,19014,18433,2560902522,116495598
"05003","Ashley County, Arkansas",21853,21831,20838,2396641905,39310651
"05005","Baxter County, Arkansas",41513,41538,41053,1435587546,83997217
"05007","Benton County, Arkansas",221339,223010,249672,2194644508,94662461
"05009","Boone County, Arkansas",36903,36897,37222,1528692190,30044428
"05011","Bradley County, Arkansas",11508,11486,11094,1681500473,9546870
"05013","Calhoun County, Arkansas",5368,5338,5229,1628017155,9926138
"05015","Carroll County, Arkansas",27446,27544,27704,1631917381,22566276
"05017","Chicot County, Arkansas",11800,11793,11027,1668740125,120391665
"05019","Clark County, Arkansas",22995,22947,22633,2243121932,43395997
"05021","Clay County, Arkansas",16083,16050,15109,1656206452,5105957
"05023","Cleburne County, Arkansas",25970,25999,25467,1434055831,99015207
"05025","Cleveland County, Arkansas",8689,8686,8311,1548252069,2500394
"05027","Columbia County, Arkansas",24552,24747,24114,1984066985,1813507
"05029","Conway County, Arkansas",21273,21244,21019,1430319825,37342580
"05031","Craighead County, Arkansas",96443,96724,104354,1831656075,14162379
"05033","Crawford County, Arkansas",61948,61980,61703,1536106675,28873990
"05035","Crittenden County, Arkansas",50902,50948,48963,1579271661,68938875
"05037","Cross County, Arkansas",17870,17832,17284,1596418434,15348594
"05039","Dallas County, Arkansas",8116,8068,7604,1728522942,1864048
"05041","Desha County, Arkansas",13008,12964,11965,1989504302,133058424
"05043","Drew County, Arkansas",18509,18656,18778,2145431293,18920696
"05045","Faulkner County, Arkansas",113237,114057,121552,1678012685,41927331
"05047","Franklin County, Arkansas",18125,18128,17702,1576932379,27933924
"05049","Fulton County, Arkansas",12245,12216,12204,1601114128,5527461
"05051","Garland County, Arkansas",96024,96128,97177,1755444878,147213948
"05053","Grant County, Arkansas",17853,17890,18102,1636376859,2904466
"05055","Greene County, Arkansas",42090,42188,44196,1496233476,4826525
"05057","Hempstead County, Arkansas",22609,22602,22084,1884267810,35372390
"05059","Hot Spring County, Arkansas",32923,33128,33426,1593367055,18052939
"05061","Howard County, Arkansas",13789,13799,13300,1524346632,17509479
"05063","Independence County, Arkansas",36647,36806,37052,1978628920,19593957
"05065","Izard County, Arkansas",13696,13684,13445,1503686209,8913023
"05067","Jackson County, Arkansas",17997,18049,17338,1641892684,19587909
"05069","Jefferson County, Arkansas",77435,77323,71565,2255220650,111447666
"05071","Johnson County, Arkansas",25540,25553,26141,1708883157,59415544
"05073","Lafayette County, Arkansas",7645,7636,6996,1368208312,43539379
"05075","Lawrence County, Arkansas",17415,17501,16779,1521913098,12244885
"05077","Lee County, Arkansas",10424,10374,9650,1560780566,43722296
"05079","Lincoln County, Arkansas",14134,14074,13820,1454321132,27631033
"05081","Little River County, Arkansas",13171,13137,12472,1378529805,84207522
"05083","Logan County, Arkansas",22353,22315,21714,1834034439,60696140
"05085","Lonoke County, Arkansas",68356,68711,71645,1996176993,83170220
"05087","Madison County, Arkansas",15717,15693,15767,2160711386,7316240
"05089","Marion County, Arkansas",16653,16660,16185,1546245256,112174577
"05091","Miller County, Arkansas",43462,43540,43908,1620239736,31263840
"05093","Mississippi County, Arkansas",46480,46389,43738,2332475973,49826380
"05095","Monroe County, Arkansas",8149,8123,7399,1572439014,36715157
"05097","Montgomery County, Arkansas",9487,9491,8970,2019879948,52859758
"05099","Nevada County, Arkansas",8997,8974,8558,1600189595,7257804
"05101","Newton County, Arkansas",8330,8329,7913,2126110054,5931821
"05103","Ouachita County, Arkansas",26120,26076,24358,1897899921,18050486
"05105","Perry County, Arkansas",10445,10455,10189,1428125735,23648787
"05107","Phillips County, Arkansas",21757,21668,19513,1801758335,82056090
"05109","Pike County, Arkansas",11291,11271,10824,1555592368,34995957
"05111","Poinsett County, Arkansas",24583,24524,24040,1964217602,13522889
"05113","Polk County, Arkansas",20662,20668,20216,2221377955,12387478
"05115","Pope County, Arkansas",61754,62108,63390,2104490517,47206953
"05117","Prairie County, Arkansas",8715,8715,8291,1678203880,71628651
"05119","Pulaski County, Arkansas",382748,383628,392664,1967777404,124061704
"05121","Randolph County, Arkansas",17969,17966,17469,1689166005,9968447
"05123","St. Francis County, Arkansas",28258,28182,26589,1644048592,20050191
"05125","Saline County, Arkansas",107118,107675,117460,1874124567,17835823
"05127","Scott County, Arkansas",11233,11270,10513,2311098364,14901123
"05129","Searcy County, Arkansas",8195,8180,7869,1725176918,6256956
"05131","Sebastian County, Arkansas",125744,125784,127780,1377643728,36905742
"05133","Sevier County, Arkansas",17058,17141,17290,1463670417,41830997
"05135","Sharp County, Arkansas",17264,17279,16912,1565489388,5172578
"05137","Stone County, Arkansas",12394,12393,12456,1570581314,7838986
"05139","Union County, Arkansas",41639,41556,40144,2691552718,41401571
"05141","Van Buren County, Arkansas",17295,17307,16771,1834082139,41805938
"05143","Washington County, Arkansas",203065,204026,225477,2439681852,27046999
"05145","White County, Arkansas",77076,77333,79161,2680832626,18311035
"05147","Woodruff County, Arkansas",7260,7240,6741,1519780744,18707994
"05149","Yell County, Arkansas",22185,22155,21713,2408647209,48880316
"06001","Alameda County, California",1510271,1513754,1638215,1914046110,213184643
"06003","Alpine County, California",1175,1159,1110,1912271907,12557251
"06005","Amador County, California",38091,37873,37001,1539962991,29456575
"06007","Butte County, California",220000,219977,225411,4238423238,105325758
"06009","Calaveras County, California",45578,45464,44828,2641819725,43810420
"06011","Colusa County, California",21419,21446,21482,2980379369,14581020
"06013","Contra Costa County, California",1049025,1052921,1126745,1854268836,227485306
"06015","Del Norte County, California",28610,28566,27254,2606493856,578525663
"06017","El Dorado County, California",181058,181148,184452,4423396606,203243236
"06019","Fresno County, California",930450,932462,974861,15431126407,137815999
"06021","Glenn County, California",28122,28110,28017,3403106702,33750196
"06023","Humboldt County, California",134623,135026,135727,9241044673,1254256396
"06025","Imperial County, California",174528,174750,180191,10817352524,790247942
"06027","Inyo County, California",18546,18513,18260,26368354217,119208057
"06029","Kern County, California",839631,841682,882176,21061565098,79577235
"06031","Kings County, California",152982,152367,150965,3598582308,5468555
"06033","Lake County, California",64665,64744,64591,3254227528,188962335
"06035","Lassen County, California",34895,34839,31345,11761612172,463440721
"06037","Los Angeles County, California",9818605,9826009,10170292,10509869649,1795012906
"06039","Madera County, California",150865,151125,154998,5534982985,41957504
"06041","Marin County, California",252409,252903,261221,1347585521,797420433
"06043","Mariposa County, California",18251,18260,17531,3752416976,36271400
"06045","Mendocino County, California",87841,87811,87649,9081386386,962952644
"06047","Merced County, California",255793,256832,268455,5011554741,112760487
"06049","Modoc County, California",9686,9697,8965,10146977156,739774453
"06051","Mono County, California",14202,14246,13909,7896827391,214695487
"06053","Monterey County, California",415057,416413,433898,8496702738,1270714482
"06055","Napa County, California",136484,136810,142456,1938247338,104169342
"06057","Nevada County, California",98764,98777,98877,2480616988,41514942
"06059","Orange County, California",3010232,3017866,3169776,2047561084,407916814
"06061","Placer County, California",348432,350234,375391,3644136017,247205361
"06063","Plumas County, California",20007,19918,18409,6612350713,156395470
"06065","Riverside County, California",2189641,2202286,2361026,18664696661,251073334
"06067","Sacramento County, California",1418788,1422010,1501335,2498415670,76077248
"06069","San Benito County, California",55269,55557,58792,3596742302,4555039
"06071","San Bernardino County, California",2035210,2041642,2128133,51947229509,124028343
"06073","San Diego County, California",3095313,3104386,3299521,10895120648,826347909
"06075","San Francisco County, California",805235,805813,864816,121399963,479190317
"06077","San Joaquin County, California",685306,687442,726106,3603505998,91108644
"06079","San Luis Obispo County, California",269637,269905,281401,8543248461,820974646
"06081","San Mateo County, California",718451,719973,765135,1161371825,757704380
"06083","Santa Barbara County, California",423895,424379,444769,7083838022,2729829365
"06085","Santa Clara County, California",1781642,1786844,1918044,3341343470,36174996
"06087","Santa Cruz County, California",262382,263266,274146,1152986019,419568865
"06089","Shasta County, California",177223,177317,179533,9778246966,186530888
"06091","Sierra County, California",3240,3221,2967,2468813797,23299108
"06093","Siskiyou County, California",44900,44940,43554,16259652221,179889482
"06095","Solano County, California",413344,414062,436092,2128361199,218665937
"06097","Sonoma County, California",483878,484791,502146,4081430136,497530353
"06099","Stanislaus County, California",514453,515334,538388,3871582888,51437339
"06101","Sutter County, California",94737,94802,96463,1560235601,15747004
"06103","Tehama County, California",63463,63593,63308,7639709781,32276063
"06105","Trinity County, California",13786,13764,13069,8234229734,73407861
"06107","Tulare County, California",442179,443081,459863,12494658169,37391616
"06109","Tuolumne County, California",55365,55185,53709,5752062580,138683578
"06111","Ventura County, California",823318,825298,850536,4773691889,945991626
"06113","Yolo County, California",200849,201129,213016,2628032408,22969178
"06115","Yuba County, California",72155,72357,74492,1636454192,30998568
"08001","Adams County, Colorado",441603,443680,491337,3024207713,42070226
"08003","Alamosa County, Colorado",15445,15926,16496,1871636898,1807726
"08005","Arapahoe County, Colorado",572003,574727,631096,2067070049,19003734
"08007","Archuleta County, Colorado",12084,12056,12352,3496937899,13827529
"08009","Baca County, Colorado",3788,3790,3615,6617333541,6142194
"08011","Bent County, Colorado",6499,6509,5830,3918292377,73093771
"08013","Boulder County, Colorado",294567,295986,319372,1881080439,36469028
"08014","Broomfield County, Colorado",55889,56271,65065,85557538,1466175
"08015","Chaffee County, Colorado",17809,17803,18658,2624702242,4013482
"08017","Cheyenne County, Colorado",1836,1831,1829,4605713068,8166204
"08019","Clear Creek County, Colorado",9088,9083,9303,1023632674,3280082
"08021","Conejos County, Colorado",8256,8292,8130,3334326097,9235297
